# Simulation 1 (Up to date),
# 615 data points written for 2 variables.,
#,
Time (s),Altitude (m)
19.812,142.918
19.994,142.268
20.177,141.618
20.359,140.968
20.541,140.318
20.723,139.668
20.905,139.018
21.088,138.368
21.27,137.719
21.452,137.069
21.634,136.419
21.816,135.77
21.998,135.12
22.181,134.471
22.363,133.821
22.545,133.172
22.727,132.522
22.909,131.873
23.092,131.223
23.274,130.574
23.456,129.925
23.638,129.276
23.821,128.626
24.003,127.978
24.185,127.329
24.368,126.679
24.55,126.03
24.732,125.381
24.914,124.732
25.097,124.083
25.279,123.434
25.461,122.786
25.643,122.137
25.825,121.488
26.007,120.839
26.189,120.191
26.371,119.542
26.553,118.893
26.735,118.245
26.917,117.596
27.099,116.948
27.281,116.299
27.463,115.651
27.645,115.003
27.827,114.354
28.009,113.706
28.191,113.058
28.373,112.41
28.555,111.762
28.737,111.113
28.919,110.465
29.101,109.817
29.283,109.169
29.465,108.521
29.647,107.873
29.828,107.226
30.01,106.578
30.192,105.93
30.374,105.282
30.556,104.634
30.738,103.987
30.92,103.339
31.102,102.692
31.284,102.044
31.466,101.397
31.648,100.749
31.829,100.102
32.011,99.455
32.193,98.807
32.375,98.16
32.557,97.512
32.739,96.865
32.921,96.218
33.103,95.571
33.285,94.924
33.466,94.277
33.648,93.629
33.83,92.982
34.012,92.336
34.194,91.689
34.375,91.042
34.557,90.395
34.739,89.748
34.921,89.101
35.103,88.455
35.284,87.808
35.466,87.161
35.648,86.515
35.83,85.868
36.011,85.222
36.193,84.575
36.375,83.929
36.557,83.282
36.738,82.636
36.92,81.99
37.102,81.343
37.284,80.697
37.465,80.051
37.647,79.405
37.829,78.758
38.01,78.112
38.192,77.467
38.374,76.821
38.556,76.176
38.738,75.529
38.92,74.882
39.102,74.237
39.283,73.591
39.465,72.945
39.647,72.299
39.828,71.654
40.01,71.008
40.192,70.362
40.373,69.717
40.555,69.071
40.737,68.426
40.918,67.78
41.1,67.135
41.281,66.49
41.463,65.844
41.644,65.199
41.826,64.554
42.008,63.908
42.189,63.263
42.371,62.618
42.552,61.973
42.734,61.328
42.915,60.683
43.097,60.038
43.279,59.393
43.46,58.748
43.642,58.104
43.823,57.458
44.005,56.813
44.186,56.169
44.368,55.524
44.549,54.879
44.731,54.235
44.912,53.59
45.094,52.945
45.275,52.301
45.457,51.657
45.639,51.012
45.82,50.367
46.001,49.723
46.183,49.079
46.364,48.435
46.546,47.79
46.727,47.146
46.909,46.502
47.09,45.858
47.272,45.214
47.453,44.57
47.634,43.926
47.816,43.282
47.997,42.638
48.178,41.995
48.36,41.35
48.542,40.706
48.723,40.062
48.905,39.418
49.086,38.775
49.267,38.132
49.449,37.488
49.63,36.844
49.811,36.2
49.993,35.557
50.174,34.913
50.355,34.27
50.537,33.627
50.718,32.984
50.9,32.34
51.081,31.697
51.262,31.053
51.443,30.41
51.625,29.767
51.806,29.124
51.988,28.481
52.169,27.838
52.35,27.195
52.531,26.552
52.713,25.909
52.894,25.266
53.075,24.624
53.257,23.98
53.438,23.337
53.619,22.695
53.8,22.052
53.982,21.409
54.163,20.767
54.344,20.125
54.525,19.482
54.707,18.839
54.888,18.197
55.069,17.555
55.251,16.912
55.432,16.269
55.613,15.627
55.794,14.985
55.975,14.343
56.157,13.701
56.338,13.058
56.519,12.416
56.7,11.774
56.881,11.132
57.063,10.49
57.244,9.848
57.425,9.206
57.606,8.564
57.787,7.922
57.968,7.28
58.149,6.639
58.33,5.997
58.511,5.355
58.693,4.714
58.874,4.072
59.055,3.43
59.236,2.789
59.417,2.147
59.598,1.506
60.022,0
